video,yt_id,duration,title,singer,lyric,year,submatch,match,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio,key,scale,strength,tempo_variance,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,harmonicity,zcr,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,valence,arousal,audio
BBIBBI (삐삐).wav,BZqfL_2CzKg,3:15,BBIBBI,IU,Q2,2018,0,1,0.0726056842608072,58.878944070347735,389.7377084050387,65.40639132514966,324.331317079889,0.0228108074516057,43598770,0.6280986232554141,G,major,0.8940593600273132,4.990563720279618,0.3443267941474914,0.3226700723171234,0.4090948700904846,0.2852523028850555,0.344727098941803,0.2745512723922729,0.3378283679485321,0.4757449328899383,0.3516080677509308,0.4064413607120514,0.3688713610172272,0.4477201402187347,0.6472324132919312,0.1011666388337413,-70.21109008789062,85.9852066040039,12.788095474243164,10.715455055236816,4.15375280380249,9.633164405822754,6.809566497802734,0.8270694613456726,0.3895097374916076,4.950063228607178,-5.839810371398926,1.736629843711853,-4.02780818939209,19.489751006392023,16.81756202141937,19.707882711745484,18.93289859642642,19.13530164819528,18.3347053589678,48.93372725621409,0.7036665678024292,0.6424626111984253,Q1
Twenty-three (스물셋).wav,GXNHaLIhyMY,3:15,스물셋,IU,Q2,2015,0,1,0.069900824471263,57.02890794325844,118.57804013471404,65.40639132514966,53.17164880956439,0.0180086381733417,57895162,0.8350592715176481,C,minor,0.8668016195297241,1.552691168944428,0.5436937212944031,0.3832550346851349,0.4055603146553039,0.4730418026447296,0.3807185292243957,0.4302465617656708,0.3907881379127502,0.4646777808666229,0.3732064962387085,0.3704123198986053,0.4710869789123535,0.390097826719284,0.6307772397994995,0.1234177097024734,3.3952877521514893,75.74678802490234,10.037720680236816,13.10754680633545,8.834237098693848,10.613313674926758,-1.1949552297592163,10.22214412689209,3.2259716987609863,1.2248330116271973,-6.213743209838867,5.05478572845459,-1.6293751001358032,19.75312727805572,14.67114926292301,17.61011336334578,17.852948024140378,17.890962796868124,16.21187229198869,48.49060565480598,0.761261522769928,0.6421412229537964,Q1
Jam Jam (잼잼).wav,KWjDSRdIFgc,3:39,잼잼,IU,Q2,2017,0,1,0.1501702852277565,945.6784866267378,169.64319079487348,65.40639132514966,104.23679946972382,0.0100531075149774,47310732,0.5407684773820655,A,minor,0.9640468955039978,4.506090979662503,0.4296595454216003,0.2948955297470093,0.3291098475456238,0.361735999584198,0.473972737789154,0.3222866356372833,0.290262222290039,0.3720846176147461,0.4066163003444671,0.5354552865028381,0.3808183968067169,0.3957820534706116,0.7574570775032043,0.0951156908524904,-41.911582946777344,74.6594467163086,16.885360717773438,22.358409881591797,7.885772705078125,14.654854774475098,7.900466918945312,5.148224830627441,3.9875411987304688,5.0680060386657715,-1.6212676763534546,0.5320017337799072,0.8679487109184265,20.83590999166228,16.579149763332154,18.995342319220065,17.872958559992842,17.487223590953395,16.98450047637633,48.0268028563145,0.3853793442249298,0.3901171386241913,Q3
다비치 (DAVICHI) - 너에게 못했던 내 마지막 말은 (Unspoken Words) _ 가사.wav,inxtzi3d_0I,3:25,너에게 못했던 내 마지막 말은,다비치,Q3,2019,0,1,0.1247874872492349,1033.2964928184708,367.86341164694414,65.40639132514966,302.4570203217945,0.0155234411358833,41192330,0.5342910077904276,D,major,0.9029999375343324,4.119712334460465,0.173714280128479,0.2593797743320465,0.3570927381515503,0.2005986273288726,0.2548732459545135,0.1630030572414398,0.2848705947399139,0.2482111901044845,0.2246569395065307,0.4016929268836975,0.2394013851881027,0.3187399208545685,0.8358688354492188,0.1009008352758352,-100.33344268798828,101.1269989013672,-14.980291366577148,21.42758560180664,5.400759220123291,-3.2818732261657715,7.571270942687988,-8.251276016235352,1.4297432899475098,3.224062442779541,-12.05992603302002,0.5933946371078491,-4.183327674865723,19.438179085479824,17.152836388705605,22.308246516942823,22.20200672476675,21.8344021525542,22.58491416752237,47.920953762493994,0.8053430318832397,0.7476303577423096,Q1
시간아 멈춰라 (시간아 멈춰라).wav,i-SBnhaZSSU,4:29,시간아 멈춰라,다비치,Q2,2010,0,1,0.1997755331088664,1065.284325213244,926.9577116402556,65.40639132514966,861.551320315106,0.0157071594148874,32124936,0.2412087295734279,Bb,major,0.8869790434837341,1.9867238554914963,0.3896805942058563,0.3042685687541961,0.3421140313148498,0.2897664606571197,0.2608093023300171,0.3263264298439026,0.2643846571445465,0.33852419257164,0.2987465262413025,0.3352424502372741,0.3898950815200805,0.3369583785533905,0.7569943070411682,0.117225685884903,-46.70218276977539,83.9859848022461,-8.33368968963623,15.76534652709961,7.176033973693848,5.582217216491699,3.935336828231811,6.026209831237793,-1.102786660194397,7.218428134918213,-8.96961498260498,3.6699376106262207,-4.159402370452881,22.99504617260724,17.665242588186366,19.65980558286633,20.755870634396377,20.04862051707137,19.85087164409603,48.47276216975544,0.6528982520103455,0.6123460531234741,Q1
Can't Nobody.wav,f57HiOMOWg0,3:29,Can't Nobody,2NE1,Q1,2010,2,0,0.1457589285714285,803.952995941785,110.0,65.40639132514966,44.59360867485033,0.0140063613653182,72374732,0.910124350043056,A,minor,0.9402156472206116,1.7075645822897552,0.442381352186203,0.3927096128463745,0.3731856048107147,0.3584961295127868,0.4500588178634643,0.3241798281669616,0.33008673787117,0.4349823594093323,0.442692220211029,0.5979390740394592,0.4508014619350433,0.4834350049495697,0.6906203031539917,0.1404528481619698,-3.2237253189086914,57.70091247558594,-18.9799861907959,13.39243984222412,3.5453426837921143,9.566902160644531,5.659385681152344,8.494256019592285,5.158829212188721,10.49487590789795,-1.822726249694824,5.328605651855469,-0.6107521057128906,19.66253931469475,14.61826539588852,17.250241994363634,17.69467509045032,18.2269169283974,17.483740993395507,47.01263023087011,0.9003527760505676,0.8348308801651001,Q1
Hate You.wav,XiVEeuUKfRU,3:32,Hate You,2NE1,Q2,2011,0,1,0.1096086191732629,171.62274945291847,84.33305895682803,65.40639132514966,18.92666763167837,0.0061678909696638,57512276,0.7016613331047503,A,major,0.8528945446014404,1.6055622213519265,0.3764490485191345,0.3979807496070862,0.4266494512557983,0.372756153345108,0.4487654864788055,0.3331038951873779,0.4018052518367767,0.3444312512874603,0.4036408364772796,0.5387490391731262,0.4369905292987823,0.5739505887031555,0.8383505344390869,0.1058160652690743,1.8019746541976929,68.4314193725586,-6.37244176864624,12.869707107543944,8.797545433044434,8.704288482666016,13.621774673461914,9.419966697692873,10.429865837097168,11.389163970947266,-0.9761354327201844,8.294833183288574,2.8929283618927,22.29828926112384,14.794147765313523,18.747727116288836,18.553639509034443,18.73601576445601,18.846531515000656,47.42010600151525,0.8767638206481934,0.8366070985794067,Q1
Come Back Home.wav,BuwxrZxEbt0,3:50,Come Back Home,2NE1,Q3,2014,0,1,0.1145254220155665,722.9810414271071,97.43442710125966,65.40639132514966,32.02803577611,0.0114868003875017,43870036,0.4521176288114221,C,minor,0.8932042717933655,3.273779603584104,0.4259299635887146,0.3241294026374817,0.3693861365318298,0.3984282910823822,0.2619096040725708,0.2700152993202209,0.2690881192684173,0.4820233285427093,0.3803619742393493,0.3059572279453277,0.3899600505828857,0.343176782131195,0.80657958984375,0.0978810183020822,-27.33216094970703,83.09304809570312,-6.623310565948486,12.625056266784668,-1.6925315856933594,0.6224417686462402,2.8255486488342285,2.4546430110931396,3.393019437789917,6.8936662673950195,-5.795535564422607,6.245192527770996,-2.492312431335449,20.272069173365058,16.110930085852157,19.90504266254172,19.723339700191172,19.806982878244803,19.496076237852616,48.21125455170086,0.8389101028442383,0.7694219350814819,Q1
심술.wav,blgBQkYBtQ0,2:38,심술,볼빨간 사춘기,Q1,2016,2,0,0.0997939358257285,115.48704347348335,307.5533855193843,65.40639132514966,242.14699419423465,0.0141105726361274,10512066,0.2306149922672505,E,major,0.9286528825759888,6.483904313102677,0.2265225648880005,0.2624673843383789,0.2147673368453979,0.2880310416221618,0.3949917554855346,0.2442100197076797,0.3321660161018371,0.3186354339122772,0.3916167616844177,0.3177918195724487,0.2603563666343689,0.3164748251438141,0.7648866772651672,0.0853862610851486,-94.1200714111328,94.31067657470705,-4.918482303619385,27.52846908569336,9.821741104125977,6.1776347160339355,2.700963258743286,2.4048891067504883,-0.8330968022346497,3.8074779510498047,-9.182540893554688,-3.295480251312256,-8.428610801696777,21.389742908642376,17.882327578724244,21.728438837911614,21.037262022998583,21.410053625371543,20.359821340047755,48.05834131477259,0.726417064666748,0.6449968814849854,Q1
"나만, 봄.wav",bWPxFjZ2GX0,3:38,"나만, 봄",볼빨간 사춘기,Q3,2019,0,1,0.0916773641420624,133.09675607870193,590.7319012233158,65.40639132514966,525.3255098981662,0.0173663962632417,48397104,0.5589075152499072,G,major,0.9326801300048828,4.270901877784774,0.280173659324646,0.234692633152008,0.3683773875236511,0.2194841653108596,0.2648993730545044,0.2109149694442749,0.3533979952335357,0.4501012861728668,0.2459991872310638,0.3550789058208465,0.2642971277236938,0.3633740842342376,0.745547890663147,0.1040548341724165,-61.44278717041016,92.79954528808594,-8.359262466430664,26.615478515625,3.371032238006592,8.151265144348145,-5.394749164581299,-4.5949225425720215,2.0143253803253174,0.9058137536048888,-8.140080451965332,-3.625656843185425,-2.8871562480926514,20.193470610583475,16.7016764205915,21.460884170800327,20.913967628405185,20.832462479745683,19.25450774702354,48.22805905165437,0.7223268747329712,0.6419904232025146,Q1
